s1,s2,s3,s4,s5,s6,s9
-0.31673247,-0.18527459,-0.037293456,-0.16961943,-0.047728896,-0.9070184,0.9857562
-0.28889605,-0.13857697,-0.09272186,-0.13921714,0.23474887,-0.90575475,0.9774563
-0.53320986,-0.29680583,-0.24104543,-0.28042385,0.66896003,-0.549294,0.85121924
-0.5709134,-0.3173358,-0.15983684,-0.2973751,0.3288585,-0.6473592,0.929381
-0.84802604,-0.5189173,-0.14730316,-0.47183496,0.06654661,-0.49419603,0.9816496
-0.7894997,-0.5341237,-0.33612677,-0.47344288,0.79523057,-0.28635412,0.714645
-0.86594504,-0.58831924,-0.31488535,-0.5152287,0.6630105,-0.22761981,0.7557321
-0.88846177,-0.5545388,-0.19995022,-0.50482625,0.2329964,-0.3777848,0.93812
-0.78550774,-0.48570907,-0.25489572,-0.4362874,0.52815855,-0.35280937,0.8572214
-0.89337707,-0.67954075,-0.39127526,-0.5797899,0.8634956,-0.13389134,0.58219326
-0.87706983,-0.5524386,-0.23119429,-0.4924136,0.3598818,-0.32696122,0.89453465
-1.0476962,-0.7012214,-0.22041534,-0.62463635,0.15234771,-0.23036708,0.94300455
-1.0297312,-0.6957092,-0.25322863,-0.6237865,0.28101957,-0.19000697,0.8864988
-0.9257136,-0.7302042,-0.41514295,-0.61274064,0.89868015,-0.08847059,0.53707534
-0.97107005,-0.75778115,-0.39539728,-0.6400944,0.7978491,-0.09029006,0.5907805
-1.0369165,-0.90973914,-0.56313473,-0.7475935,1.2430544,0.095187336,0.21211219
-0.9876259,-0.8389403,-0.48417142,-0.6920872,1.0342227,-0.01942113,0.40080538
-1.015331,-0.80554783,-0.39683762,-0.6742208,0.7413278,-0.07650864,0.6102935
-0.94229347,-0.6481084,-0.30378518,-0.57033336,0.55367804,-0.18437858,0.7805291
-0.86375654,-0.53158265,-0.17307532,-0.4851977,0.14923339,-0.43982202,0.9609099
-0.8349837,-0.51598126,-0.24250208,-0.47007602,0.44405067,-0.33129573,0.875989
-0.4823249,-0.25442305,-0.12019183,-0.24385878,0.23033929,-0.7799668,0.96221733
-0.34773302,-0.15766576,-0.13597856,-0.16113427,0.39266953,-0.82878494,0.93793947
-0.05315856,-0.017346958,-0.050358076,-0.019669872,0.17520724,-0.833925,0.9972924
-0.23402502,-0.15471588,0.06627104,-0.13483752,-0.4282459,-1.0081792,0.9777764
0.14120394,0.04147978,0.05321001,0.054888636,-0.17251311,0.13133442,0.96101296
0.17413667,0.07795983,0.1808756,0.09974884,-0.6595969,-0.03904642,0.8503698
0.23957363,0.12103714,0.1200218,0.11790419,-0.37318772,0.7943353,0.9422573
0.37234944,0.17244723,0.14234762,0.17943282,-0.4005947,-0.47271615,0.9269731
0.15418535,0.048600115,0.1474734,0.068878315,-0.5396179,-0.11342381,0.9104425
0.5472662,0.2996734,0.14458649,0.28447342,-0.28060487,-0.57760423,0.937576
0.6429294,0.38332605,0.23331429,0.3669131,-0.563785,0.75741726,0.8580113
0.88899046,0.6212692,0.19549894,0.5354789,-0.13152389,-0.90131176,0.9156501
0.9702582,0.74334633,0.2725641,0.63243,-0.30072117,-0.79900485,0.8260171
0.9708993,0.7152223,0.27090904,0.61357725,-0.37367624,0.91782486,0.7958182
0.9644579,0.94739383,0.5797228,0.7943546,-1.2415681,0.5678164,0.055054784
0.99499005,0.9993764,0.42221224,0.8355287,-0.6329026,0.6093672,0.40536234
0.9642441,0.96922916,0.5385278,0.7934517,-1.046019,-0.63704515,0.18881851
0.9269025,0.70158076,0.3360676,0.6065479,-0.6412728,0.45586282,0.6770556
0.88625866,0.6357184,0.2886461,0.5519339,-0.5335423,0.2943159,0.7575264
0.87740904,0.6480915,0.351734,0.56064194,-0.75492394,-0.23837005,0.6614325
0.851399,0.5561704,0.1769405,0.48453817,-0.15015024,-0.4406622,0.93018913
0.80763465,0.5106163,0.30736524,0.46294865,-0.73831004,-0.8694196,0.7481488
0.8280139,0.5761326,0.31016487,0.5092033,-0.6688071,0.1288479,0.72562927
0.7322605,0.45488644,0.2852146,0.41615045,-0.70506245,-0.7068673,0.78965974
0.7162963,0.43568903,0.19441155,0.40563107,-0.33807442,0.6858448,0.8992265
0.7654317,0.45110524,0.34123155,0.41808558,-0.92301327,-0.9244449,0.6587273
0.7307483,0.4595824,0.33103198,0.4150918,-0.8692823,-0.22887778,0.70092916
0.62839204,0.36103505,0.13930412,0.33383074,-0.19840384,-0.88114995,0.9559233
0.1754487,0.076251015,0.0366905,0.0809261,-0.076847166,0.45519036,0.97619545
0.25480896,0.16047381,0.19395207,0.14946848,-0.6298241,0.95253396,0.8368008
-0.2723399,-0.11789477,-0.102223665,-0.122342415,0.30304724,-0.9142187,0.9686928
-0.3041977,-0.13454838,-0.11607519,-0.13784991,0.32977012,-0.8867296,0.9592416
-0.74713194,-0.4378703,-0.13765137,-0.4067569,0.09875112,-0.5845305,0.97641695
-0.901095,-0.68039244,-0.3816047,-0.5796931,0.8243058,-0.13483681,0.6070885
-0.96473974,-0.7351722,-0.37454948,-0.6257595,0.7362956,-0.10226319,0.63781923
-0.99549496,-0.8557535,-0.4953693,-0.7073326,1.0598683,0.0006402433,0.37688634
-0.95997196,-0.7235071,-0.3709049,-0.61551297,0.7306378,-0.10888773,0.6405222
-1.0008054,-0.68308663,-0.2668911,-0.6054837,0.36365214,-0.17957193,0.85462344
-0.93500453,-0.7252802,-0.39346796,-0.61315125,0.81998247,-0.10412151,0.5882993
-0.9203952,-0.74874884,-0.44281867,-0.6257277,0.9803264,-0.06326917,0.4772211
-0.80459493,-0.4956411,-0.24578866,-0.4511018,0.48148817,-0.34672606,0.8689306
-0.7858671,-0.52311873,-0.32078972,-0.46705523,0.75662565,-0.29396218,0.74461436
-0.9849618,-0.8107365,-0.4454722,-0.676029,0.9202633,-0.05168672,0.4911794
-0.97981274,-0.76999223,-0.3948938,-0.64992446,0.78016776,-0.08992792,0.5928047
-0.9866405,-0.75594306,-0.3724281,-0.64019763,0.7112864,-0.09498176,0.64557225
-0.99284625,-0.8457689,-0.5053111,-0.6977304,1.1014794,0.009019479,0.35058945
-0.98435736,-0.7411123,-0.3605147,-0.63162935,0.6757097,-0.09990603,0.6708423
-0.9681857,-0.7803819,-0.4228285,-0.64924747,0.8734009,-0.06893957,0.5384697
-1.0267729,-0.7859339,-0.3614682,-0.6690701,0.6315286,-0.086209826,0.6757233
-0.79789376,-0.5466918,-0.33575743,-0.47920427,0.78886855,-0.27409267,0.7132567
-0.67092687,-0.39001468,-0.22908929,-0.35844237,0.5334812,-0.45692205,0.8696641
-0.48664004,-0.2583225,-0.15887965,-0.2405109,0.39439693,-0.69835025,0.9218372
-0.30787525,-0.17770635,-0.04263902,-0.16223484,-0.025991997,-0.9113874,0.9862316
0.012178217,0.014735204,-0.046861447,0.008152584,0.19509876,-0.7684483,0.99866235
0.36975273,0.17132421,0.1520146,0.17683057,-0.449799,-0.49826646,0.9194355
0.4953786,0.26314285,0.03402697,0.26231048,0.15024346,0.64312226,1.0027432
0.4071614,0.20173538,0.10511942,0.2020224,-0.22488394,-0.6525407,0.9589038
0.41457173,0.20472623,0.15098524,0.21060033,-0.41705674,-0.80633193,0.93752044
0.38177252,0.21159203,0.02197768,0.196626,0.12979867,-0.5404655,1.0038477
0.533788,0.29515216,0.096361905,0.28891194,-0.06995432,0.6141383,0.96743554
0.82151204,0.5494923,0.26171258,0.4931094,-0.5081823,0.6331006,0.8139288
0.7752289,0.50189877,0.31031466,0.45912218,-0.73357165,0.8637371,0.7402086
0.90033334,0.63912714,0.26783964,0.5605,-0.41894895,-0.9351842,0.82540315
0.89180636,0.64772695,0.36919725,0.56400514,-0.8088007,0.9125582,0.61807543
0.9216884,0.68458694,0.42615184,0.5902082,-0.99720913,-0.4550868,0.5025598
0.99286914,0.89226276,0.41961557,0.75905985,-0.7299075,-0.7239245,0.48341888
0.9502169,0.84423447,0.39874053,0.7123704,-0.71240366,0.94189644,0.5016665
1.0299449,0.9888388,0.42445812,0.83718157,-0.62722075,-0.83826405,0.48522258
0.9478262,0.8835378,0.47557476,0.74521446,-0.94883126,0.85110223,0.30379006
0.95050395,0.8755996,0.44805357,0.7422258,-0.85742164,0.8838037,0.36235824
0.9215204,0.72512716,0.34044397,0.6238167,-0.61639386,0.021436691,0.6686801
0.90202314,0.6177926,0.23945174,0.54155266,-0.34732896,0.89480793,0.8486715
0.85443187,0.549654,0.34237728,0.4978372,-0.8281951,-0.9162358,0.6780191
0.60920465,0.35696673,0.3073554,0.343159,-0.8520409,0.90509725,0.7316937
0.6317619,0.363315,0.19990098,0.33947533,-0.45560372,-0.94093174,0.9096805
0.37966537,0.21186633,0.024716843,0.19858323,0.11100991,-0.65711844,0.9995618
0.63846815,0.3613141,0.110785544,0.3427028,-0.054275896,0.39075345,0.96686685
0.445825,0.23655745,0.19504023,0.2295727,-0.5731638,-0.97214687,0.90470815
0.2755615,0.141664,0.100344144,0.1331124,-0.26661876,0.90030146,0.95911545
0.22049096,0.106090896,0.18998441,0.12517399,-0.66815954,0.2240881,0.83425164
0.005642658,-0.031433083,0.021215364,-0.012414314,-0.12299743,-0.6398605,0.9675766
-0.36008906,-0.1901009,-0.077698685,-0.18284754,0.11859156,-0.8786892,0.9854888
-0.23942004,-0.10259328,-0.089665756,-0.10905118,0.26127625,-0.92988896,0.97701
-0.642228,-0.3685193,-0.17815202,-0.3394832,0.35636,-0.5573009,0.91795045
-0.8676399,-0.57198817,-0.29283535,-0.50707394,0.58874524,-0.25380293,0.802905
-0.94820225,-0.76246023,-0.4278613,-0.6394921,0.90534043,-0.071253926,0.51993644
-0.9091541,-0.58872837,-0.243167,-0.531364,0.36674824,-0.28321496,0.8867876
-1.0029644,-0.8661989,-0.51416385,-0.709259,1.1219431,0.020737454,0.32836422
-0.98251027,-0.8158879,-0.45942187,-0.67791766,0.96530247,-0.043446884,0.4589267
-0.9552729,-0.7220782,-0.3777346,-0.6146704,0.7619425,-0.10262816,0.62443614
-0.9888665,-0.67835724,-0.2764229,-0.599834,0.40918577,-0.17185952,0.83219683
-0.89071345,-0.6550279,-0.36134028,-0.56444347,0.77367187,-0.15865311,0.652502
-0.9394434,-0.61125576,-0.24466883,-0.54827064,0.3532694,-0.25914854,0.8850467
-0.97873825,-0.7361812,-0.3604513,-0.62783796,0.6807677,-0.10626043,0.664736
-0.9659808,-0.734886,-0.36497334,-0.62289554,0.70731485,-0.10853879,0.6545566
-0.9519846,-0.77159786,-0.43491247,-0.6448418,0.92616445,-0.06674738,0.4986682
-0.84835833,-0.5203834,-0.14685662,-0.47348404,0.05396063,-0.49284577,0.98519796
-0.9105679,-0.6056261,-0.2947456,-0.53976643,0.5553985,-0.22045417,0.8010829
-1.0157657,-0.7131644,-0.2807313,-0.62928516,0.3908,-0.1484593,0.8308882
-0.81189936,-0.57140565,-0.34755865,-0.49597037,0.80871004,-0.2469297,0.6865213
-0.84151,-0.5178551,-0.20914,-0.47196528,0.3067787,-0.38441023,0.9188457
-0.69774103,-0.4171039,-0.10784637,-0.38550276,-0.0008168593,-0.6497925,0.9963522
-0.49418688,-0.2533336,-0.1747079,-0.24341138,0.4572585,-0.66902256,0.90870965
-0.122393236,-0.03925287,-0.07267294,-0.050011825,0.24336465,-0.93771404,0.99507815
0.21679145,0.11258272,0.0376933,0.10698045,-0.039765716,0.9113431,0.9795493
0.57284254,0.31963035,0.13042079,0.30007124,-0.20186147,-0.8039982,0.9579513
0.5359828,0.29451552,0.1184694,0.2909637,-0.17075689,0.5849814,0.950741
0.6681688,0.39430892,0.25680223,0.3653062,-0.6692973,-0.8687043,0.8305105
0.74402547,0.4299168,0.12952967,0.40670082,-0.06270028,0.7936715,0.9630126
0.52144367,0.29246667,0.18806164,0.28506905,-0.4698227,0.6534673,0.89707565
0.6959591,0.42568782,0.3059006,0.4024763,-0.78007835,0.8778193,0.7476208
0.81646436,0.5133108,0.21506514,0.46485317,-0.33549455,0.9084904,0.8876502
0.7992673,0.5204582,0.26404664,0.46958798,-0.5510025,-0.8765519,0.8272047
0.7479783,0.47766814,0.26407844,0.43343928,-0.58097076,0.12332657,0.7995829
0.97061986,0.8873518,0.3858926,0.7486868,-0.636763,0.64296585,0.5259692
0.95220935,0.71148455,0.27698088,0.6074019,-0.37164435,-0.19905125,0.8045212
0.99080867,0.8352806,0.38842994,0.72212213,-0.67027473,-0.91049683,0.55880624
0.9654938,0.8957489,0.40039265,0.7542857,-0.6568886,0.19984299,0.5111462
0.97916794,0.89609736,0.38902298,0.75281096,-0.62827253,0.89153326,0.52115905
0.95789427,0.95779204,0.4513914,0.80089206,-0.7837882,0.95762956,0.3037168
0.9548242,0.8925506,0.48883232,0.75595045,-0.9795393,0.85442436,0.2689091
0.85578966,0.60466456,0.3570787,0.52993155,-0.825637,-0.39552766,0.65814245
