s1,s2,s3,s4,s5,s6,s9
-0.3059708,-0.15610297,-0.012683574,-0.15265362,-0.13311179,-0.97891545,0.9992377
-0.2736326,-0.1390261,-0.066628166,-0.13813715,0.12615475,-0.97809577,0.9914067
-0.4968194,-0.26285887,-0.22794603,-0.24944821,0.6710136,-0.63857746,0.8523788
-0.5901547,-0.32076895,-0.14685144,-0.31026,0.26163638,-0.63169277,0.9580929
-0.8365628,-0.5145307,-0.14362317,-0.45799312,0.03998679,-0.4462238,0.975342
-0.7732006,-0.45569086,-0.32799712,-0.41455516,0.86051047,-0.24327078,0.72271746
-0.8803642,-0.56228065,-0.30519834,-0.5114238,0.6597917,-0.20548856,0.77859604
-0.86541814,-0.5451279,-0.18954913,-0.49026793,0.19539246,-0.36938795,0.9383013
-0.79687047,-0.4765757,-0.24060872,-0.44484046,0.4862287,-0.34216112,0.87100875
-0.9133615,-0.6044587,-0.39143944,-0.53122544,0.94996953,-0.07610207,0.6167377
-0.8633677,-0.542851,-0.21855018,-0.49426788,0.31846985,-0.3313563,0.9057333
-0.9672117,-0.69708145,-0.20613237,-0.57908744,0.1228738,-0.31015286,0.92445827
-0.96928257,-0.70181817,-0.23771924,-0.5946911,0.23761623,-0.2667295,0.8849997
-0.9532217,-0.66833496,-0.41380483,-0.57909435,0.9690121,-0.03414668,0.5716856
-0.9900155,-0.76284724,-0.38457784,-0.6551661,0.7587665,-0.07127662,0.6238746
-0.9986187,-0.8694058,-0.54341274,-0.7049819,1.2136717,0.1014024,0.23696756
-0.9973785,-0.87967527,-0.4629132,-0.73096675,0.9237414,0.0015927404,0.41449186
-0.9995838,-0.85692716,-0.37834355,-0.71370614,0.6287097,-0.09832666,0.61017776
-0.9402168,-0.6452515,-0.2906681,-0.5731859,0.5085732,-0.20044862,0.8065542
-0.8459107,-0.5241222,-0.16506796,-0.47041926,0.116433755,-0.41262498,0.9597487
-0.83499265,-0.51294684,-0.22924316,-0.47345218,0.39665267,-0.33299857,0.88995486
-0.48795527,-0.25760135,-0.10163168,-0.2515409,0.13745804,-0.7772611,0.98347616
-0.33296332,-0.1705333,-0.12140778,-0.16817287,0.33081642,-0.90988094,0.96123713
-0.016777689,-0.008389337,-0.029623149,-0.0083708605,0.12252936,-0.74581575,0.9964163
-0.26458526,-0.13428578,0.049111523,-0.12752964,-0.3647885,-0.99990547,0.97656703
0.118453175,0.059400827,0.08323617,0.05876305,-0.2971928,0.112930536,0.9759271
0.07512887,0.03760872,0.22024427,0.03286742,-0.81525356,0.025986806,0.796285
0.20428759,0.10304906,0.124399796,0.10088592,-0.42263633,0.7723062,0.9488958
0.3891235,0.20116141,0.15447152,0.19661337,-0.4375726,-0.395418,0.934869
0.07548337,0.037786596,0.14942354,0.03567946,-0.5878642,-0.0744279,0.90852267
0.56680834,0.30579737,0.161065,0.29669282,-0.34196797,-0.5273855,0.9434568
0.6744743,0.37834558,0.23661509,0.35901216,-0.5812797,0.7786249,0.86276495
0.9524993,0.6669751,0.20548525,0.5648387,-0.145097,-0.99648076,0.92533666
0.9911421,0.7675081,0.27781206,0.64128345,-0.33132178,-0.7656975,0.8207257
0.9805773,0.7310022,0.27737638,0.6227296,-0.36504063,0.988467,0.82499486
0.9833233,0.93272936,0.5821032,0.74850285,-1.2656251,0.6628376,0.100922704
0.8784776,0.9937999,0.40364838,0.80901724,-0.46889013,0.61125773,0.29053864
0.9562111,0.9761322,0.5229873,0.80334884,-1.0009662,-0.61763436,0.17329764
