False Positive Rate,True Positive Rate,Thresholds
0.0,0.0,inf
0.0,0.0025,497197.25
0.0,0.92,3444.4446
0.005,0.92,3331.4805
0.005,0.9575,2361.5166
0.01,0.9575,2312.0925
0.01,0.96,2228.9504
0.015,0.96,1820.93
0.015,0.9625,1726.1039
0.02,0.9625,1718.7812
0.02,0.965,1639.573
0.025,0.965,1504.3662
0.025,0.975,1118.5698
0.035,0.975,1066.2751
0.035,0.98,835.9056
0.06,0.98,728.64777
0.06,0.9825,664.71594
0.07,0.9825,520.69366
0.07,0.985,516.9618
0.075,0.985,435.1871
0.075,0.9875,431.1385
0.095,0.9875,391.96368
0.095,0.99,391.37787
0.14,0.99,310.27975
0.14,0.9925,307.74042
0.15,0.9925,300.46634
0.15,0.995,298.79877
0.2,0.995,253.64548
0.2,0.9975,247.54358
0.26,0.9975,194.33406
0.26,1.0,194.13522
1.0,1.0,-15.81163
